id,pr_nomLabel,nom_de_familleLabel,pays_de_nationalit_Label,date_de_naissance,date_de_mort,identifiant_Fichier_d_autorit__international_virtuel,_cole_des_chartesLabel,occupationLabel,dipl_me_universitaireLabel,distinction_re_ueLabel,domaine_d_activit_Label,th_se_de_doctorat,th_se_de_doctoratLabel
http://www.wikidata.org/entity/Q3351082,Olivier,Guyotjeannin,France,1959-03-13T00:00:00Z,,29535054,Olivier Guyotjeannin,enseignant,,,Moyen Âge,http://www.wikidata.org/entity/Q43397149,La Seigneurie des évêques de Beauvais et de Noyon (Xe siècle-début du XIIIe siècle)
http://www.wikidata.org/entity/Q3351082,Olivier,Guyotjeannin,France,1959-03-13T00:00:00Z,,29535054,Olivier Guyotjeannin,archiviste,,,Moyen Âge,http://www.wikidata.org/entity/Q43397149,La Seigneurie des évêques de Beauvais et de Noyon (Xe siècle-début du XIIIe siècle)
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,professeur,,docteur honoris causa de l'université d'Oxford,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,professeur,,docteur honoris causa de l'université de St Andrews,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,professeur,,commandeur de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,linguiste,,docteur honoris causa de l'université d'Oxford,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,linguiste,,docteur honoris causa de l'université de St Andrews,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,linguiste,,commandeur de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,bibliothécaire,,docteur honoris causa de l'université d'Oxford,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,bibliothécaire,,docteur honoris causa de l'université de St Andrews,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,bibliothécaire,,commandeur de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,médiéviste,,docteur honoris causa de l'université d'Oxford,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,médiéviste,,docteur honoris causa de l'université de St Andrews,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,médiéviste,,commandeur de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,romaniste,,docteur honoris causa de l'université d'Oxford,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,romaniste,,docteur honoris causa de l'université de St Andrews,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,romaniste,,commandeur de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q3263525,Louis,,France,1815-04-09T00:00:00Z,1897-01-03T00:00:00.000Z,19773406,,,,,,,
